seqname,source,feature,start,end,id,length
Pt,ensembl,gene,92870,131084,GRMZM5G806488,38214
Pt,ensembl,gene,105072,107369,GRMZM5G894515,2297
Pt,ensembl,gene,110138,111685,GRMZM5G800096,1547
Pt,ensembl,gene,111760,112005,GRMZM5G815553,245
Pt,ensembl,gene,112473,112778,GRMZM5G835775,305
Pt,ensembl,gene,112993,113523,GRMZM5G864407,530
Pt,ensembl,gene,113707,114249,GRMZM5G866223,542
Pt,ensembl,gene,114343,116454,GRMZM5G874448,2111
Pt,ensembl,gene,116456,117637,GRMZM5G853723,1181
Pt,ensembl,gene,117772,118011,GRMZM5G844074,239
Pt,ensembl,gene,131265,133501,GRMZM5G810298,2236
Pt,ensembl,gene,133827,134036,GRMZM5G898466,209
Pt,ensembl,gene,134341,134862,GRMZM5G885905,521
Pt,ensembl,gene,134923,135222,GRMZM5G866761,299
Pt,ensembl,gene,138323,139807,GRMZM5G818111,1484
Pt,ensembl,gene,139824,140048,GRMZM5G866064,224
Pt,ensembl,gene,140068,140361,GRMZM5G855343,293
Mt,ensembl,gene,8752,9915,GRMZM5G816453,1163
Mt,ensembl,gene,11111,13315,GRMZM5G806435,2204
Mt,ensembl,gene,17207,19115,GRMZM5G853409,1908
Mt,ensembl,gene,19813,20889,GRMZM5G849223,1076
Mt,ensembl,gene,21090,22698,GRMZM5G892769,1608
Mt,ensembl,gene,24646,25498,GRMZM5G892983,852
Mt,ensembl,gene,26913,27883,GRMZM5G851708,970
Mt,ensembl,gene,37306,38381,GRMZM5G860062,1075
Mt,ensembl,gene,42603,43923,GRMZM5G894376,1320
Mt,ensembl,gene,51507,53059,GRMZM5G852144,1552
Mt,ensembl,gene,58052,58528,GRMZM5G816274,476
Mt,ensembl,gene,58744,59348,GRMZM5G854065,604
Mt,ensembl,gene,60824,63559,GRMZM5G889299,2735
Mt,ensembl,gene,63562,64041,GRMZM5G877040,479
Mt,ensembl,gene,65335,65682,GRMZM5G856972,347
Mt,ensembl,gene,68277,68597,GRMZM5G849018,320
Mt,ensembl,gene,71056,71394,GRMZM5G834908,338
Mt,ensembl,gene,73895,74197,GRMZM5G897626,302
Mt,ensembl,gene,76132,84976,GRMZM5G804358,8844
Mt,ensembl,gene,98038,98789,GRMZM5G800457,751
Mt,ensembl,gene,99693,100007,GRMZM5G858045,314
Mt,ensembl,gene,101544,102116,GRMZM5G839924,572
Mt,ensembl,gene,105917,106267,GRMZM5G871174,350
Mt,ensembl,gene,108119,108487,GRMZM5G813949,368
Mt,ensembl,gene,108349,108693,GRMZM5G819258,344
Mt,ensembl,gene,114492,114968,GRMZM5G898772,476
Mt,ensembl,gene,120929,121513,GRMZM5G897615,584
Mt,ensembl,gene,129509,132560,GRMZM5G863003,3051
Mt,ensembl,gene,138031,138330,GRMZM5G845024,299
Mt,ensembl,gene,138553,139212,GRMZM5G884912,659
Mt,ensembl,gene,142490,142849,GRMZM5G890747,359
Mt,ensembl,gene,155608,155940,GRMZM5G875789,332
Mt,ensembl,gene,157640,158260,GRMZM5G866979,620
Mt,ensembl,gene,160501,164661,GRMZM5G861791,4160
Mt,ensembl,gene,165955,166302,GRMZM5G871099,347
Mt,ensembl,gene,168897,169217,GRMZM5G844605,320
Mt,ensembl,gene,171676,172014,GRMZM5G817985,338
Mt,ensembl,gene,174515,174817,GRMZM5G844657,302
Mt,ensembl,gene,185996,186382,GRMZM5G814594,386
Mt,ensembl,gene,191869,192351,GRMZM5G822401,482
Mt,ensembl,gene,199269,199586,GRMZM5G837015,317
Mt,ensembl,gene,200741,201463,GRMZM5G898647,722
Mt,ensembl,gene,201993,202316,GRMZM5G834207,323
Mt,ensembl,gene,204632,207081,GRMZM5G834128,2449
Mt,ensembl,gene,204827,205144,GRMZM5G825253,317
Mt,ensembl,gene,208261,208961,GRMZM5G841635,700
Mt,ensembl,gene,214706,215020,GRMZM5G850100,314
Mt,ensembl,gene,222181,222597,GRMZM5G872899,416
Mt,ensembl,gene,222801,223196,GRMZM5G873916,395
Mt,ensembl,gene,224213,225121,GRMZM5G882520,908
Mt,ensembl,gene,226253,226645,GRMZM5G845230,392
Mt,ensembl,gene,232091,233200,GRMZM5G816772,1109
Mt,ensembl,gene,233670,234005,GRMZM5G824660,335
Mt,ensembl,gene,234411,234776,GRMZM5G834298,365
Mt,ensembl,gene,236902,237477,GRMZM5G866990,575
Mt,ensembl,gene,237577,243574,GRMZM5G856027,5997
Mt,ensembl,gene,250363,254128,GRMZM5G827309,3765
Mt,ensembl,gene,254397,255221,GRMZM5G833299,824
Mt,ensembl,gene,261340,261951,GRMZM5G889036,611
Mt,ensembl,gene,262384,262761,GRMZM5G881135,377
Mt,ensembl,gene,262806,263162,GRMZM5G876913,356
Mt,ensembl,gene,265988,266410,GRMZM5G834666,422
Mt,ensembl,gene,267745,269870,GRMZM5G851769,2125
Mt,ensembl,gene,271154,271498,GRMZM5G889790,344
Mt,ensembl,gene,273331,275849,GRMZM5G867512,2518
Mt,ensembl,gene,277988,278428,GRMZM5G870438,440
Mt,ensembl,gene,280400,282986,GRMZM5G859440,2586
Mt,ensembl,gene,284756,285205,GRMZM5G846068,449
Mt,ensembl,gene,287309,287710,GRMZM5G828883,401
Mt,ensembl,gene,288627,289007,GRMZM5G875046,380
Mt,ensembl,gene,293481,293798,GRMZM5G883882,317
Mt,ensembl,gene,295310,295627,GRMZM5G881661,317
Mt,ensembl,gene,306309,306650,GRMZM5G834995,341
Mt,ensembl,gene,307857,308156,GRMZM5G826322,299
Mt,ensembl,gene,308155,308514,GRMZM5G857320,359
Mt,ensembl,gene,310906,312072,GRMZM5G884707,1166
Mt,ensembl,gene,313450,313773,GRMZM5G851921,323
Mt,ensembl,gene,319613,319963,GRMZM5G887290,350
Mt,ensembl,gene,330767,335518,GRMZM5G800101,4751
Mt,ensembl,gene,336423,336818,GRMZM5G826672,395
Mt,ensembl,gene,339779,340135,GRMZM5G842963,356
Mt,ensembl,gene,342957,343355,GRMZM5G848448,398
Mt,ensembl,gene,344813,345433,GRMZM5G889905,620
Mt,ensembl,gene,346145,347501,GRMZM5G827951,1356
Mt,ensembl,gene,347110,347523,GRMZM5G861353,413
Mt,ensembl,gene,348199,348528,GRMZM5G899892,329
Mt,ensembl,gene,351309,351713,GRMZM5G844331,404
Mt,ensembl,gene,356474,356917,GRMZM5G807592,443
Mt,ensembl,gene,360534,361787,GRMZM5G846968,1253
Mt,ensembl,gene,361927,362250,GRMZM5G874740,323
Mt,ensembl,gene,362802,363197,GRMZM5G838554,395
Mt,ensembl,gene,369060,369413,GRMZM5G874394,353
Mt,ensembl,gene,372870,373193,GRMZM5G878344,323
Mt,ensembl,gene,374935,375234,GRMZM5G801746,299
Mt,ensembl,gene,376214,376603,GRMZM5G861212,389
Mt,ensembl,gene,385083,385424,GRMZM5G819109,341
Mt,ensembl,gene,388671,389072,GRMZM5G822170,401
Mt,ensembl,gene,389275,389718,GRMZM5G821687,443
Mt,ensembl,gene,406845,407144,GRMZM5G845496,299
Mt,ensembl,gene,411137,411628,GRMZM5G805421,491
Mt,ensembl,gene,433538,433984,GRMZM5G890451,446
Mt,ensembl,gene,438523,438930,GRMZM5G845792,407
Mt,ensembl,gene,441570,442510,GRMZM5G884538,940
Mt,ensembl,gene,448356,448778,GRMZM5G805940,422
Mt,ensembl,gene,456574,457383,GRMZM5G838963,809
Mt,ensembl,gene,468544,468861,GRMZM5G865196,317
Mt,ensembl,gene,472552,472941,GRMZM5G822734,389
Mt,ensembl,gene,479553,481148,GRMZM5G851130,1595
Mt,ensembl,gene,486574,486894,GRMZM5G856189,320
Mt,ensembl,gene,487871,488230,GRMZM5G891801,359
Mt,ensembl,gene,496997,497812,GRMZM5G821527,815
Mt,ensembl,gene,501949,502296,GRMZM5G847102,347
Mt,ensembl,gene,504158,504475,GRMZM5G899452,317
Mt,ensembl,gene,509973,510266,GRMZM5G887911,293
Mt,ensembl,gene,510534,510887,GRMZM5G804671,353
Mt,ensembl,gene,511894,514104,GRMZM5G844030,2210
Mt,ensembl,gene,525511,526320,GRMZM5G859187,809
Mt,ensembl,gene,541369,545055,GRMZM5G862955,3686
Mt,ensembl,gene,548916,549248,GRMZM5G834282,332
Mt,ensembl,gene,550608,550973,GRMZM5G893089,365
Mt,ensembl,gene,564155,564517,GRMZM5G872234,362
Mt,ensembl,gene,564497,564946,GRMZM5G836544,449
Mt,ensembl,gene,565003,565665,GRMZM5G897755,662
10,ensembl,gene,300326,310785,GRMZM2G040843,10459
10,ensembl,gene,621842,622767,AC195240.4_FG002,925
10,ensembl,gene,630477,635225,GRMZM2G109674,4748
10,ensembl,gene,717178,719005,GRMZM2G179143,1827
10,ensembl,gene,893876,895613,GRMZM2G135536,1737
10,ensembl,gene,1078707,1083643,GRMZM2G066165,4936
10,ensembl,gene,1084003,1085634,GRMZM2G066142,1631
10,ensembl,gene,1086965,1088582,GRMZM2G066049,1617
10,ensembl,gene,1135014,1145195,GRMZM2G057576,10181
10,ensembl,gene,1146098,1148797,GRMZM2G057557,2699
10,ensembl,gene,1149291,1151784,GRMZM2G057525,2493
10,ensembl,gene,1152579,1158548,GRMZM2G057441,5969
10,ensembl,gene,1279030,1283646,GRMZM2G147266,4616
10,ensembl,gene,1287888,1301582,GRMZM2G073840,13694
10,ensembl,gene,1318125,1319780,GRMZM2G173724,1655
10,ensembl,gene,1320705,1322616,GRMZM2G173742,1911
10,ensembl,gene,1347854,1350592,GRMZM2G078264,2738
10,ensembl,gene,1411349,1423184,GRMZM2G048067,11835
10,ensembl,gene,1441529,1447058,GRMZM2G337929,5529
10,ensembl,gene,1498840,1502997,GRMZM2G089565,4157
10,ensembl,gene,1536891,1540898,GRMZM2G098603,4007
10,ensembl,gene,1542108,1543169,GRMZM2G098596,1061
10,ensembl,gene,1546077,1562905,GRMZM2G176546,16828
10,ensembl,gene,1679131,1681892,GRMZM2G430745,2761
10,ensembl,gene,1717389,1719197,GRMZM2G430780,1808
10,ensembl,gene,1720611,1722779,GRMZM2G129907,2168
10,ensembl,gene,1725412,1728063,GRMZM2G129954,2651
10,ensembl,gene,1728667,1734854,GRMZM2G130062,6187
10,ensembl,gene,1791759,1792570,GRMZM5G812168,811
10,ensembl,gene,1808229,1809040,GRMZM2G124293,811
10,ensembl,gene,1879259,1882389,GRMZM2G022606,3130
10,ensembl,gene,1886674,1888997,GRMZM2G317287,2323
10,ensembl,gene,1890881,1892401,AC198366.3_FG004,1520
10,ensembl,gene,1894283,1897425,GRMZM2G012062,3142
10,ensembl,gene,1905201,1908377,GRMZM2G104620,3176
10,ensembl,gene,1913331,1914222,GRMZM2G104638,891
10,ensembl,gene,1918486,1921003,GRMZM2G104655,2517
10,ensembl,gene,1922341,1923824,GRMZM2G104710,1483
10,ensembl,gene,1928277,1938173,GRMZM2G104730,9896
10,ensembl,gene,1948805,1950405,GRMZM2G043119,1600
10,ensembl,gene,1950508,1959844,GRMZM2G043150,9336
10,ensembl,gene,1983893,1985197,GRMZM2G400999,1304
10,ensembl,gene,2008922,2010657,GRMZM2G178734,1735
10,ensembl,gene,2011814,2017183,GRMZM5G886363,5369
10,ensembl,gene,2033382,2034248,GRMZM2G180150,866
10,ensembl,gene,2039154,2041723,GRMZM2G180155,2569
10,ensembl,gene,2044291,2046783,GRMZM2G180166,2492
10,ensembl,gene,2046864,2051605,GRMZM2G180205,4741
10,ensembl,gene,2052395,2058076,GRMZM2G180244,5681
10,ensembl,gene,2116473,2118537,GRMZM2G180249,2064
10,ensembl,gene,2118792,2122726,GRMZM2G180251,3934
10,ensembl,gene,2127268,2133476,GRMZM2G180254,6208
10,ensembl,gene,2140197,2144013,GRMZM2G180258,3816
10,ensembl,gene,2144460,2145471,GRMZM2G180262,1011
10,ensembl,gene,2226008,2230022,GRMZM2G099005,4014
10,ensembl,gene,2230287,2231617,GRMZM2G099067,1330
10,ensembl,gene,2232051,2235960,GRMZM2G099074,3909
10,ensembl,gene,2252057,2259197,GRMZM2G138659,7140
10,ensembl,gene,2260118,2263935,GRMZM2G437314,3817
10,ensembl,gene,2405084,2406195,GRMZM2G181546,1111
10,ensembl,gene,2435337,2439141,GRMZM2G151903,3804
10,ensembl,gene,2449049,2453307,GRMZM2G151977,4258
10,ensembl,gene,2454333,2457858,GRMZM2G152007,3525
10,ensembl,gene,2458625,2459498,GRMZM2G152016,873
10,ensembl,gene,2460936,2466520,GRMZM5G832378,5584
10,ensembl,gene,2469595,2470558,AC197146.3_FG002,963
10,ensembl,gene,2482962,2484788,AC197146.3_FG001,1826
10,ensembl,gene,2629931,2630888,GRMZM2G172487,957
10,ensembl,gene,2632775,2633842,GRMZM2G470974,1067
10,ensembl,gene,2635968,2636971,GRMZM2G172575,1003
10,ensembl,gene,2639262,2640147,GRMZM2G172586,885
10,ensembl,gene,2649738,2651194,GRMZM2G172596,1456
10,ensembl,gene,2653212,2656552,GRMZM2G127416,3340
10,ensembl,gene,2657170,2665931,GRMZM2G127393,8761
10,ensembl,gene,2659630,2660092,GRMZM2G427014,462
10,ensembl,gene,2682268,2684357,GRMZM2G127379,2089
10,ensembl,gene,2693389,2697471,GRMZM2G320305,4082
10,ensembl,gene,2763781,2766292,GRMZM2G431714,2511
10,ensembl,gene,2785064,2786391,GRMZM5G822449,1327
10,ensembl,gene,2792433,2795520,GRMZM2G037064,3087
10,ensembl,gene,2797529,2803099,GRMZM2G036918,5570
10,ensembl,gene,2839957,2842038,AC234175.1_FG010,2081
10,ensembl,gene,2845697,2849082,GRMZM5G819919,3385
10,ensembl,gene,2987324,2996389,GRMZM2G004412,9065
10,ensembl,gene,3019739,3021114,GRMZM2G088320,1375
10,ensembl,gene,3023381,3027928,GRMZM2G536120,4547
10,ensembl,gene,3061688,3063555,AC198744.3_FG004,1867
10,ensembl,gene,3064168,3064805,GRMZM2G068745,637
10,ensembl,gene,3065600,3069726,GRMZM2G068465,4126
10,ensembl,gene,3163435,3169260,GRMZM2G356817,5825
10,ensembl,gene,3169852,3173480,GRMZM2G356839,3628
10,ensembl,gene,3175443,3177258,GRMZM2G058481,1815
10,ensembl,gene,3187672,3191169,GRMZM2G058531,3497
10,ensembl,gene,3192610,3193424,GRMZM5G862857,814
10,ensembl,gene,3193616,3195834,GRMZM2G058595,2218
10,ensembl,gene,3275775,3281566,GRMZM5G873586,5791
10,ensembl,gene,3283523,3287419,AC152495.1_FG002,3896
10,ensembl,gene,3299975,3307226,AC152495.1_FG003,7251
10,ensembl,gene,3372154,3376038,AC152495.1_FG010,3884
10,ensembl,gene,3377385,3378752,AC152495.1_FG011,1367
10,ensembl,gene,3385712,3388278,AC152495.1_FG012,2566
10,ensembl,gene,3396644,3399693,AC152495.1_FG013,3049
10,ensembl,gene,3404105,3405367,AC152495.1_FG015,1262
10,ensembl,gene,3441445,3444666,AC152495.1_FG017,3221
10,ensembl,gene,3445065,3449748,GRMZM5G879178,4683
10,ensembl,gene,3571990,3590706,GRMZM2G069382,18716
10,ensembl,gene,3645995,3648135,GRMZM2G083246,2140
10,ensembl,gene,3648411,3648894,GRMZM2G702283,483
10,ensembl,gene,3649253,3650329,GRMZM2G083258,1076
10,ensembl,gene,3687121,3688770,GRMZM2G143769,1649
10,ensembl,gene,3700999,3705985,GRMZM2G443939,4986
10,ensembl,gene,3706769,3710819,GRMZM5G802403,4050
10,ensembl,gene,3717120,3719429,GRMZM2G097078,2309
10,ensembl,gene,3767328,3769922,GRMZM2G349565,2594
10,ensembl,gene,3849433,3854134,GRMZM2G003625,4701
10,ensembl,gene,3907357,3911655,GRMZM2G061742,4298
10,ensembl,gene,3983698,3989918,GRMZM2G005134,6220
10,ensembl,gene,3990349,3993118,GRMZM2G304965,2769
10,ensembl,gene,3995050,3997307,GRMZM2G005207,2257
10,ensembl,gene,4018763,4022973,GRMZM2G473138,4210
10,ensembl,gene,4027158,4027751,GRMZM2G441029,593
10,ensembl,gene,4035458,4036997,GRMZM2G441031,1539
10,ensembl,gene,4056213,4062898,GRMZM2G088313,6685
10,ensembl,gene,4064252,4065194,GRMZM2G387731,942
10,ensembl,gene,4067806,4073874,GRMZM2G129775,6068
10,ensembl,gene,4074286,4076892,GRMZM2G129804,2606
10,ensembl,gene,4101520,4102167,GRMZM2G467576,647
10,ensembl,gene,4161244,4165105,GRMZM2G101928,3861
10,ensembl,gene,4168397,4169548,GRMZM2G101958,1151
10,ensembl,gene,4237957,4238514,GRMZM2G093997,557
10,ensembl,gene,4244035,4246141,GRMZM5G886547,2106
10,ensembl,gene,4246280,4247510,GRMZM5G898755,1230
10,ensembl,gene,4265843,4266479,GRMZM2G387760,636
10,ensembl,gene,4288915,4289531,GRMZM2G702437,616
10,ensembl,gene,4290613,4291701,GRMZM2G361968,1088
10,ensembl,gene,4292080,4292876,GRMZM2G059582,796
10,ensembl,gene,4309930,4312172,GRMZM2G044736,2242
10,ensembl,gene,4393807,4395067,GRMZM2G424625,1260
10,ensembl,gene,4393972,4395067,GRMZM2G424628,1095
10,ensembl,gene,4396464,4399157,GRMZM2G125001,2693
10,ensembl,gene,4449604,4458482,GRMZM2G443565,8878
10,ensembl,gene,4469326,4472165,GRMZM2G156150,2839
10,ensembl,gene,4513756,4518759,GRMZM2G044372,5003
10,ensembl,gene,4519229,4520683,AC196978.5_FG007,1454
10,ensembl,gene,4527743,4529265,GRMZM2G356128,1522
10,ensembl,gene,4529985,4531757,GRMZM2G054481,1772
10,ensembl,gene,4561180,4568012,GRMZM2G036685,6832
10,ensembl,gene,4587515,4589210,GRMZM2G407189,1695
10,ensembl,gene,4588445,4589131,AC196978.5_FG002,686
10,ensembl,gene,4589327,4595077,GRMZM5G835772,5750
10,ensembl,gene,4595127,4597641,GRMZM5G803318,2514
10,ensembl,gene,4614584,4617977,GRMZM2G022318,3393
10,ensembl,gene,4641206,4667439,GRMZM2G003732,26233
10,ensembl,gene,4667844,4670650,GRMZM2G003750,2806
10,ensembl,gene,4676400,4679041,GRMZM2G003762,2641
10,ensembl,gene,4684279,4684609,GRMZM2G485603,330
10,ensembl,gene,4685001,4690509,GRMZM2G004414,5508
10,ensembl,gene,4692725,4696761,GRMZM2G004445,4036
10,ensembl,gene,4697235,4702142,GRMZM2G004534,4907
10,ensembl,gene,4722206,4723096,AC188612.3_FG009,890
10,ensembl,gene,4732324,4739130,GRMZM2G479967,6806
10,ensembl,gene,4740034,4741046,GRMZM2G031317,1012
10,ensembl,gene,4752399,4753182,GRMZM2G031261,783
10,ensembl,gene,4779364,4780100,GRMZM2G031033,736
10,ensembl,gene,4822449,4824119,GRMZM2G324231,1670
10,ensembl,gene,4874772,4883107,GRMZM2G314661,8335
10,ensembl,gene,4899052,4914645,GRMZM2G014282,15593
10,ensembl,gene,4989355,4993131,GRMZM2G050774,3776
10,ensembl,gene,4994123,4995149,GRMZM2G050730,1026
10,ensembl,gene,4996876,4998859,GRMZM2G050709,1983
10,ensembl,gene,5006086,5010500,GRMZM2G350841,4414
10,ensembl,gene,5109795,5111452,GRMZM2G159208,1657
10,ensembl,gene,5111957,5113411,GRMZM2G159193,1454
10,ensembl,gene,5116326,5118272,GRMZM2G159179,1946
10,ensembl,gene,5122772,5123809,AC218932.3_FG009,1037
10,ensembl,gene,5125137,5127242,GRMZM2G159119,2105
10,ensembl,gene,5225395,5228033,GRMZM2G434170,2638
10,ensembl,gene,5283320,5283544,AC198781.3_FG002,224
10,ensembl,gene,5291186,5295041,GRMZM2G702950,3855
10,ensembl,gene,5379672,5379896,AC194104.3_FG010,224
10,ensembl,gene,5383244,5386122,GRMZM5G881649,2878
10,ensembl,gene,5388541,5390606,GRMZM2G016370,2065
10,ensembl,gene,5392133,5393161,AC194104.3_FG007,1028
10,ensembl,gene,5402258,5404421,GRMZM2G016264,2163
10,ensembl,gene,5451343,5452960,GRMZM2G044377,1617
10,ensembl,gene,5453371,5457660,GRMZM2G044394,4289
10,ensembl,gene,5462324,5464902,GRMZM2G044423,2578
10,ensembl,gene,5465315,5465881,GRMZM2G338454,566
10,ensembl,gene,5484209,5484894,GRMZM2G165695,685
10,ensembl,gene,5485867,5488876,GRMZM2G465444,3009
10,ensembl,gene,5527710,5533158,GRMZM2G066496,5448
10,ensembl,gene,5534459,5537102,GRMZM2G366264,2643
10,ensembl,gene,5591911,5595821,GRMZM2G051637,3910
10,ensembl,gene,5645523,5651839,GRMZM2G164113,6316
10,ensembl,gene,5645820,5646965,GRMZM2G464328,1145
10,ensembl,gene,5722736,5732491,GRMZM2G020446,9755
10,ensembl,gene,5734820,5735467,GRMZM6G534641,647
10,ensembl,gene,5735648,5739240,GRMZM2G113228,3592
10,ensembl,gene,5741708,5749233,GRMZM2G113093,7525
10,ensembl,gene,5751864,5755041,GRMZM2G113089,3177
10,ensembl,gene,5759597,5760234,GRMZM2G413275,637
10,ensembl,gene,5761033,5765889,GRMZM2G113073,4856
10,ensembl,gene,5874253,5880613,GRMZM2G104310,6360
10,ensembl,gene,5885144,5885503,AC198371.3_FG011,359
10,ensembl,gene,5900930,5904776,GRMZM2G065804,3846
10,ensembl,gene,5908701,5909737,GRMZM2G365770,1036
10,ensembl,gene,5917605,5918673,AC198371.3_FG003,1068
10,ensembl,gene,6014386,6017167,GRMZM2G131120,2781
10,ensembl,gene,6074814,6076964,GRMZM5G805685,2150
10,ensembl,gene,6168362,6170372,AC207755.3_FG005,2010
10,ensembl,gene,6346566,6348687,GRMZM2G449197,2121
10,ensembl,gene,6355226,6359528,GRMZM2G148411,4302
10,ensembl,gene,6377440,6378546,GRMZM2G148404,1106
10,ensembl,gene,6401895,6403520,GRMZM2G057753,1625
10,ensembl,gene,6406678,6407469,AC187891.3_FG006,791
10,ensembl,gene,6534504,6534953,AC202107.3_FG001,449
10,ensembl,gene,6537638,6543057,GRMZM2G180596,5419
10,ensembl,gene,6551807,6552553,GRMZM2G180618,746
10,ensembl,gene,6593115,6599307,GRMZM2G044317,6192
10,ensembl,gene,6663939,6668632,GRMZM2G052515,4693
10,ensembl,gene,6682348,6683697,GRMZM2G052499,1349
10,ensembl,gene,6753231,6754253,GRMZM2G060050,1022
10,ensembl,gene,6829032,6829428,GRMZM2G107328,396
10,ensembl,gene,6865400,6866582,GRMZM2G163998,1182
10,ensembl,gene,6940302,6943942,GRMZM5G839644,3640
10,ensembl,gene,6945460,6947450,GRMZM2G084276,1990
10,ensembl,gene,7056957,7062087,GRMZM2G361621,5130
10,ensembl,gene,7108801,7111313,GRMZM2G031925,2512
10,ensembl,gene,7125801,7131451,GRMZM2G031656,5650
10,ensembl,gene,7137038,7138123,GRMZM2G031624,1085
10,ensembl,gene,7144066,7144769,GRMZM2G144051,703
10,ensembl,gene,7242271,7243398,GRMZM5G858524,1127
10,ensembl,gene,7317400,7318281,AC191279.2_FG001,881
10,ensembl,gene,7328022,7329110,AC191279.2_FG003,1088
10,ensembl,gene,7351910,7353040,AC187843.3_FG010,1130
10,ensembl,gene,7359659,7362689,GRMZM2G007680,3030
10,ensembl,gene,7372885,7374956,AC187843.3_FG001,2071
10,ensembl,gene,7398153,7400662,GRMZM2G326663,2509
10,ensembl,gene,7402747,7431503,GRMZM2G024499,28756
10,ensembl,gene,7435895,7439242,GRMZM2G037831,3347
10,ensembl,gene,7444587,7445057,AC187843.3_FG006,470
10,ensembl,gene,7470337,7472331,GRMZM2G156506,1994
10,ensembl,gene,7474175,7479424,GRMZM2G156490,5249
10,ensembl,gene,7565519,7569929,GRMZM2G104795,4410
10,ensembl,gene,7588858,7590240,AC198398.3_FG003,1382
10,ensembl,gene,7658128,7659518,GRMZM2G178449,1390
10,ensembl,gene,7732074,7735779,GRMZM2G010093,3705
10,ensembl,gene,7869640,7874007,GRMZM2G033680,4367
10,ensembl,gene,7921801,7925637,GRMZM2G136266,3836
10,ensembl,gene,8089095,8101773,GRMZM2G465833,12678
10,ensembl,gene,8278169,8284032,GRMZM2G163550,5863
10,ensembl,gene,8357591,8358056,GRMZM2G041317,465
10,ensembl,gene,8359295,8361689,GRMZM2G343437,2394
10,ensembl,gene,8452981,8456530,GRMZM2G153409,3549
10,ensembl,gene,8664565,8665075,GRMZM2G346110,510
10,ensembl,gene,8708992,8717055,GRMZM2G167999,8063
10,ensembl,gene,8720133,8726794,GRMZM2G468799,6661
10,ensembl,gene,8765357,8766965,GRMZM2G031278,1608
10,ensembl,gene,8789860,8796975,GRMZM2G001272,7115
10,ensembl,gene,8801629,8804020,GRMZM2G301122,2391
10,ensembl,gene,8804532,8807116,GRMZM2G301124,2584
10,ensembl,gene,8808135,8810442,GRMZM2G001466,2307
10,ensembl,gene,8813218,8814589,GRMZM5G810047,1371
10,ensembl,gene,8852553,8853933,GRMZM2G136910,1380
10,ensembl,gene,8856644,8859229,GRMZM2G438176,2585
10,ensembl,gene,8934575,8937564,GRMZM2G472449,2989
10,ensembl,gene,9142799,9147733,GRMZM2G001904,4934
10,ensembl,gene,9217173,9219426,GRMZM2G544539,2253
10,ensembl,gene,9225307,9229786,GRMZM2G419806,4479
10,ensembl,gene,9366054,9382922,GRMZM2G118316,16868
10,ensembl,gene,9383491,9407372,GRMZM2G118286,23881
10,ensembl,gene,9409405,9411344,GRMZM2G118214,1939
10,ensembl,gene,9477435,9478816,GRMZM2G048850,1381
10,ensembl,gene,9535048,9537066,GRMZM2G324131,2018
10,ensembl,gene,9542117,9544172,GRMZM2G028432,2055
10,ensembl,gene,9583429,9592124,GRMZM2G443495,8695
10,ensembl,gene,9597088,9602435,GRMZM2G142019,5347
10,ensembl,gene,9756528,9757582,GRMZM5G877489,1054
10,ensembl,gene,9785051,9792596,GRMZM2G002950,7545
10,ensembl,gene,9843512,9844082,GRMZM2G388776,570
10,ensembl,gene,9846411,9847129,GRMZM5G856076,718
