bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly
PRJNA412085	SAMN07694650	JRIAL2M	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRE2_CTTGTA_R1.fastq.gz	JRE2_CTTGTA_R2.fastq.gz			
PRJNA412085	SAMN07694651	JRIAL2N	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRF2_AGTCAA_R1.fastq.gz	JRF2_AGTCAA_R2.fastq.gz			
PRJNA412085	SAMN07694652	JRIAL2O	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRG2_AGTTCC_R1.fastq.gz	JRG2_AGTTCC_R2.fastq.gz			
PRJNA412085	SAMN07694653	JRIAL2P	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRH2_ATGTCA_R1.fastq.gz	JRH2_ATGTCA_R2.fastq.gz			
PRJNA412085	SAMN07694654	JRIAL2Q	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRA3_CCGTCC_R1.fastq.gz	JRA3_CCGTCC_R2.fastq.gz			
PRJNA412085	SAMN07694655	JRIAL2R	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRB3_GTCCGC_R1.fastq.gz	JRB3_GTCCGC_R2.fastq.gz			
PRJNA412085	SAMN07694656	JRIAL2S	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRC3_GTGAAA_R1.fastq.gz	JRC3_GTGAAA_R2.fastq.gz			
PRJNA412085	SAMN07694657	JRIAL2T	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRD3_NoIndex_R1.fastq.gz	JRD3_NoIndex_R2.fastq.gz			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
